goal_angle,episode_index,success,cumulative_reward,episode_length,final_absolute_error
-0.8,0,True,10.753656903032242,22,0.01894065724022642
-0.8,1,True,10.753656903032242,22,0.01894065724022642
-0.8,2,True,10.753656903032242,22,0.01894065724022642
-0.8,3,True,10.753656903032242,22,0.01894065724022642
-0.8,4,True,10.753656903032242,22,0.01894065724022642
-0.4,0,True,15.397557387407868,17,0.010006884703131269
-0.4,1,True,15.397557387407868,17,0.010006884703131269
-0.4,2,True,15.397557387407868,17,0.010006884703131269
-0.4,3,True,15.397557387407868,17,0.010006884703131269
-0.4,4,True,15.397557387407868,17,0.010006884703131269
0.4,0,True,15.41905298216734,17,0.003266820798476344
0.4,1,True,15.41905298216734,17,0.003266820798476344
0.4,2,True,15.41905298216734,17,0.003266820798476344
0.4,3,True,15.41905298216734,17,0.003266820798476344
0.4,4,True,15.41905298216734,17,0.003266820798476344
0.8,0,True,10.8783939443063,22,0.01696060877741601
0.8,1,True,10.8783939443063,22,0.01696060877741601
0.8,2,True,10.8783939443063,22,0.01696060877741601
0.8,3,True,10.8783939443063,22,0.01696060877741601
0.8,4,True,10.8783939443063,22,0.01696060877741601
