goal_angle,episode_index,success,cumulative_reward,episode_length,final_absolute_error
-0.8,0,True,10.789984994218685,23,0.004476853397173519
-0.8,1,True,10.789984994218685,23,0.004476853397173519
-0.8,2,True,10.789984994218685,23,0.004476853397173519
-0.8,3,True,10.789984994218685,23,0.004476853397173519
-0.8,4,True,10.789984994218685,23,0.004476853397173519
-0.4,0,True,15.461813553003594,17,0.01362730771889542
-0.4,1,True,15.461813553003594,17,0.01362730771889542
-0.4,2,True,15.461813553003594,17,0.01362730771889542
-0.4,3,True,15.461813553003594,17,0.01362730771889542
-0.4,4,True,15.461813553003594,17,0.01362730771889542
0.4,0,True,15.507421039510518,16,0.003699608187538006
0.4,1,True,15.507421039510518,16,0.003699608187538006
0.4,2,True,15.507421039510518,16,0.003699608187538006
0.4,3,True,15.507421039510518,16,0.003699608187538006
0.4,4,True,15.507421039510518,16,0.003699608187538006
0.8,0,True,11.035848895530217,22,0.009103549432353586
0.8,1,True,11.035848895530217,22,0.009103549432353586
0.8,2,True,11.035848895530217,22,0.009103549432353586
0.8,3,True,11.035848895530217,22,0.009103549432353586
0.8,4,True,11.035848895530217,22,0.009103549432353586
