goal_angle,episode_index,success,cumulative_reward,episode_length,final_absolute_error
-0.8,0,True,10.521527701057494,27,0.012328092101017596
-0.8,1,True,10.521527701057494,27,0.012328092101017596
-0.8,2,True,10.521527701057494,27,0.012328092101017596
-0.8,3,True,10.521527701057494,27,0.012328092101017596
-0.8,4,True,10.521527701057494,27,0.012328092101017596
-0.4,0,True,15.21405668091029,21,0.013217009087764853
-0.4,1,True,15.21405668091029,21,0.013217009087764853
-0.4,2,True,15.21405668091029,21,0.013217009087764853
-0.4,3,True,15.21405668091029,21,0.013217009087764853
-0.4,4,True,15.21405668091029,21,0.013217009087764853
0.4,0,True,15.211074960418046,21,0.012719840750495037
0.4,1,True,15.211074960418046,21,0.012719840750495037
0.4,2,True,15.211074960418046,21,0.012719840750495037
0.4,3,True,15.211074960418046,21,0.012719840750495037
0.4,4,True,15.211074960418046,21,0.012719840750495037
0.8,0,True,10.519856926985085,27,0.0105712357298271
0.8,1,True,10.519856926985085,27,0.0105712357298271
0.8,2,True,10.519856926985085,27,0.0105712357298271
0.8,3,True,10.519856926985085,27,0.0105712357298271
0.8,4,True,10.519856926985085,27,0.0105712357298271
