episode,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,elapsed_seconds
1,16.325434427708387,True,27,0.001954714901445373,1.0,nan,0.1513226899842266
2,-140.19520038366318,False,150,1.4432982847979403,0.985,nan,1.0360999319818802
3,-18.205299328872922,True,110,0.0064917830099400775,0.970225,nan,1.8574979690019973
4,-193.59754168987274,False,150,1.7942242830929254,0.955671625,nan,2.9734757419792004
5,-169.08597439527512,False,150,0.8876082940389769,0.941336550625,0.14347346482629125,4.9533430529991165
6,-151.26973113417625,False,150,0.717798001505408,0.927216502365625,0.055447786672351264,7.091080318001332
7,-80.12770585715771,False,150,0.9961873538053795,0.9133082548301407,0.0532409515575273,9.201608043978922
8,-46.062099280953404,False,150,0.3246551117333094,0.8996086310076885,0.04297017392197934,11.358124033984495
9,-41.79152920786291,False,150,0.1700381033822979,0.8861145015425732,0.028072643200866877,13.511739954992663
10,-15.010855897609147,False,150,0.35658424930201393,0.8728227840194346,0.035156482536500944,15.67057992197806
11,-44.278279840759936,False,150,0.6514253488514905,0.8597304422591431,0.021921790906538566,17.747916738997446
12,11.7192038372159,True,49,0.02838322665483939,0.8468344856252559,0.0430201141268243,18.421348586998647
13,-93.85072615742683,False,150,0.4222550819892814,0.834131968340877,0.02797572312798972,20.501201929000672
14,2.7418798687402095,True,100,0.030237392789668582,0.8216199888157638,0.034996841454412786,21.89314735197695
15,-23.986351914377884,False,150,0.004482597578313818,0.8092956889835273,0.034951816236910724,24.004463220975595
16,15.16240297742188,True,39,0.037273358784616704,0.7971562536487744,0.015332546395560106,24.537617939990014
17,-2.3430503922514667,True,105,0.002965232744919666,0.7851989098440427,0.045280698340918336,26.111494779994246
18,-4.424794097617273,True,48,0.012126373835866344,0.773420926196382,0.04007633094443008,26.82684401900042
19,17.676525841094545,False,150,0.06554816539849778,0.7618196123034363,0.04705163501823942,29.119878591998713
20,-24.30815639778736,True,103,0.009743983616883944,0.7503923181188847,0.039409107777281,30.70431045498117
