episode,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,elapsed_seconds
1,16.325434427708387,True,27,0.001954714901445373,1.0,nan,0.23364779900293797
2,-151.7012373805046,False,150,1.4480421070023528,0.995,nan,1.293655615998432
3,-42.70956622958184,False,150,0.49812189397889894,0.990025,nan,2.3538861619890667
4,-134.40826988220215,False,150,0.9794445984810789,0.985074875,nan,3.306306859012693
5,-179.82602804899216,False,150,1.0682663952967046,0.9801495006250001,0.08058875448023173,5.148095631011529
6,-88.85142686963081,False,150,0.24241202141681908,0.9752487531218751,0.04358948656163799,7.19801581298816
7,-136.00501883029938,False,150,1.3411796193060261,0.9703725093562657,0.01864698453253368,9.131816503009759
8,-4.442239689175043,True,72,0.028031784893613798,0.9655206468094844,0.020851619032732235,10.055121406010585
9,-36.246422885358335,False,150,0.3482647751245009,0.960693043575437,0.036624543763852366,12.106626958004199
10,-86.74415971338749,False,150,0.8307425433865349,0.9558895783575597,0.030575709783782563,14.193322639010148
11,-85.90573931129184,False,150,0.8110297960973669,0.9511101304657719,0.02566974391733917,16.117930792010156
12,0.8280195067636633,True,98,0.01637002207160068,0.946354579813443,0.02914193066191023,17.22678744699806
13,-84.60358406789601,False,150,0.02679198454402182,0.9416228069143757,0.023855385810602456,19.088911655999254
14,17.258491600863636,True,13,0.0011921909085655519,0.9369146928798039,0.021789816996225946,19.265344348998042
15,1.8591714189154978,True,56,0.025264198972648755,0.9322301194154049,0.06379737412706683,20.13356782399933
16,-25.156414480536487,False,150,0.20756599554549154,0.9275689688183278,0.04791193258638183,22.21460959900287
17,-39.27829464096577,False,150,0.011011860013504404,0.9229311239742362,0.040368773204584915,24.170900271012215
18,-91.61315169930458,False,150,0.45819543717322725,0.918316468354365,0.03124897971128424,26.051851939992048
19,-9.7994240208529,True,127,0.029956327464613658,0.9137248860125932,0.02978852684022932,27.792910847987514
20,0.1862123277038279,True,104,0.010607979815975443,0.9091562615825302,0.03308783929186085,29.25632867901004
21,3.037427097279572,True,116,0.013818398072588806,0.9046104802746175,0.03663084473749944,30.864599010994425
22,-90.84399177134037,False,150,0.5804193869907054,0.9000874278732445,0.028653246893857915,32.79683486701106
23,-44.95992197981103,False,150,0.1443630797694767,0.8955869907338783,0.030066296824564537,34.84751281500212
24,-11.90787157947198,True,87,0.02307593822110754,0.8911090557802088,0.03165055939863468,35.86912766000023
25,6.819445208739489,True,43,0.018254800050900077,0.8866535105013078,0.030920541574528743,36.54834115199628
26,-52.501737888902426,False,150,0.8100976459956061,0.8822202429488013,0.0386125463899225,38.39201840100577
27,-28.828927957266547,True,140,0.0009885668059480546,0.8778091417340573,0.04124180699499058,40.23071220898419
28,-15.183909709285949,True,145,0.019142424258537294,0.8734200960253871,0.035700883176820034,42.28389128300478
29,9.110857200081227,True,133,0.024207443587849153,0.8690529955452602,0.045486825500804004,44.136491037003
